key,position
27153.924495044514,0
27770.213957933796,1
32060.52007718959,2
32691.29387558755,3
32730.29005203671,4
33051.63052172438,5
34284.840124384544,6
34565.982534401905,7
34758.09408633287,8
35090.164974196574,9
36018.99471953914,10
37001.71567725216,11
38784.969996334476,12
39043.57060995359,13
39180.19466959814,14
39440.47573731455,15
39672.18721685212,16
40198.56350078518,17
40520.556652340165,18
40996.340888464576,19
41226.941384250655,20
41642.66628727119,21
42080.124468851,22
42435.15213499051,23
42456.29391455775,24
42780.53849508463,25
42799.29768058454,26
43235.1235016809,27
43588.122858354516,28
43634.6141411537,29
43653.40186920968,30
43667.876295627546,31
43977.12260161688,32
43984.04188552252,33
44193.87649767144,34
44606.38703742627,35
44765.89137435937,36
44784.16544863226,37
45025.59335474954,38
45723.649525094035,39
46093.498644658765,40
46103.49834279587,41
46293.699521709714,42
46358.037384801275,43
46685.597800225,44
46725.36499707439,45
47138.44836630777,46
47259.327776868704,47
47439.52103990619,48
47462.601665525144,49
47581.78719159518,50
47661.17704031617,51
47805.15571622445,52
47840.91024267791,53
47880.4322540167,54
47902.650320146706,55
48101.52381336138,56
48286.67358712274,57
48507.96605772563,58
48742.40467829034,59
48767.040302373345,60
48822.13262731423,61
48825.60512395754,62
48905.93776037885,63
49247.90627369926,64
49709.84880574118,65
49726.84881732559,66
49757.14636390566,67
49770.416314353104,68
49862.36102845766,69
49947.409359088866,70
49947.63331883656,71
50019.755682623094,72
50068.572617545535,73
50229.29732898677,74
50311.56895887375,75
50466.62890701252,76
50470.94500370336,77
50499.096573266026,78
50583.689829778115,79
50623.93970779449,80
50646.839926630084,81
50672.00817670201,82
50780.295340283,83
50783.16023377624,84
50818.87233893602,85
51080.641266300576,86
51195.41292554164,87
51271.60153544361,88
51462.962636433425,89
51527.47119939731,90
51546.83953927873,91
51586.37759057505,92
51602.69744649789,93
51785.54492532756,94
51898.76930253139,95
51898.94487549289,96
51995.07648176557,97
51995.88801012541,98
52085.614392651136,99
52143.935548775284,100
52154.05636578172,101
52225.56729251881,102
52393.73472020929,103
52440.28523160236,104
52450.13364819334,105
52451.12426164334,106
52553.353094219616,107
52690.05175678205,108
52738.374313542736,109
52805.446719348125,110
52851.50415396739,111
52861.78453956602,112
52884.611389938065,113
52914.798495877665,114
52922.8389741563,115
52990.542994831434,116
53009.09813901572,117
53016.790224971075,118
53031.89068063969,119
53045.93411035345,120
53127.38996531909,121
53209.228063375405,122
53215.14761496007,123
53222.56722840231,124
53306.09897657518,125
53363.15358424329,126
53388.19661444172,127
53442.58673268266,128
53458.95560005578,129
53586.99347282149,130
53606.900737311036,131
53635.49368940562,132
53838.453538604044,133
53994.63876341225,134
54034.352428541904,135
54065.637116292826,136
54082.59780752137,137
54084.68708893156,138
54179.972059897795,139
54229.92268808595,140
54265.665593300386,141
54412.4536158591,142
54580.60466382274,143
54653.08794731976,144
54750.02868134265,145
54759.98040749408,146
54814.219094669585,147
54896.55262324351,148
54974.28308234967,149
54977.80404871586,150
54991.39341615912,151
55121.2018403084,152
